time_ms,vm_mV
0.000,-90.43751
1.000,-90.43751
2.000,-90.43751
3.000,-90.43751
4.000,-90.43751
5.000,-90.43751
6.000,-90.43751
7.000,-90.43751
8.000,-88.65749
9.000,-36.20012
10.000,27.40926
11.000,30.04559
12.000,29.60929
13.000,29.17300
14.000,28.73670
15.000,28.30041
16.000,27.86412
17.000,27.42782
18.000,26.99153
19.000,26.55524
20.000,26.11894
21.000,25.68265
22.000,25.24636
23.000,24.81006
24.000,24.37377
25.000,23.93747
26.000,23.50118
27.000,23.06489
28.000,22.62859
29.000,22.19230
30.000,21.75601
31.000,21.31971
32.000,20.88342
33.000,20.44713
34.000,20.01083
35.000,19.57454
36.000,19.13824
37.000,18.70195
38.000,18.26566
39.000,17.82936
40.000,17.39307
41.000,16.95678
42.000,16.52048
43.000,16.08419
44.000,15.64790
45.000,15.21160
46.000,14.77531
47.000,14.33901
48.000,13.90272
49.000,13.46643
50.000,13.03013
51.000,12.59384
52.000,12.15755
53.000,11.72125
54.000,11.28496
55.000,10.84867
56.000,10.41237
57.000,9.97608
58.000,9.53978
59.000,9.10349
60.000,8.66720
61.000,8.23090
62.000,7.79461
63.000,7.35832
64.000,6.92202
65.000,6.48573
66.000,6.04944
67.000,5.61314
68.000,5.17685
69.000,4.74056
70.000,4.30426
71.000,3.86797
72.000,3.43167
73.000,2.99538
74.000,2.55909
75.000,2.12279
76.000,1.68650
77.000,1.25021
78.000,0.81391
79.000,0.37762
80.000,-0.05867
81.000,-0.49497
82.000,-0.93126
83.000,-1.36756
84.000,-1.80385
85.000,-2.24014
86.000,-2.67644
87.000,-3.11273
88.000,-3.54902
89.000,-3.98532
90.000,-4.42161
91.000,-4.85790
92.000,-5.29420
93.000,-5.73049
94.000,-6.16679
95.000,-6.60308
96.000,-7.03937
97.000,-7.47567
98.000,-7.91196
99.000,-8.34825
100.000,-8.78455
101.000,-9.22084
102.000,-9.65713
103.000,-10.09343
104.000,-10.52972
105.000,-10.96602
106.000,-11.40231
107.000,-11.83860
108.000,-12.27490
109.000,-12.71119
110.000,-13.14748
111.000,-13.58378
112.000,-14.02007
113.000,-14.45636
114.000,-14.89266
115.000,-15.32895
116.000,-15.76525
117.000,-16.20154
118.000,-16.63783
119.000,-17.07413
120.000,-17.51042
121.000,-17.94671
122.000,-18.38301
123.000,-18.81930
124.000,-19.25559
125.000,-19.69189
126.000,-20.12818
127.000,-20.56448
128.000,-21.00077
129.000,-21.43706
130.000,-21.87336
131.000,-22.30965
132.000,-22.74594
133.000,-23.18224
134.000,-23.61853
135.000,-24.05482
136.000,-24.49112
137.000,-24.92741
138.000,-25.36371
139.000,-25.80000
140.000,-26.23629
141.000,-26.67259
142.000,-27.10888
143.000,-27.54517
144.000,-27.98147
145.000,-28.41776
146.000,-28.85405
147.000,-29.29035
148.000,-29.72664
149.000,-30.16293
150.000,-32.36222
151.000,-34.61826
152.000,-36.78666
153.000,-38.87082
154.000,-40.87402
155.000,-42.79941
156.000,-44.65000
157.000,-46.42869
158.000,-48.13829
159.000,-49.78148
160.000,-51.36084
161.000,-52.87884
162.000,-54.33788
163.000,-55.74023
164.000,-57.08811
165.000,-58.38363
166.000,-59.62882
167.000,-60.82564
168.000,-61.97596
169.000,-63.08160
170.000,-64.14429
171.000,-65.16570
172.000,-66.14743
173.000,-67.09102
174.000,-67.99796
175.000,-68.86966
176.000,-69.70750
177.000,-70.51280
178.000,-71.28681
179.000,-72.03075
180.000,-72.74580
181.000,-73.43306
182.000,-74.09363
183.000,-74.72854
184.000,-75.33878
185.000,-75.92532
186.000,-76.48907
187.000,-77.03092
188.000,-77.55173
189.000,-78.05230
190.000,-78.53342
191.000,-78.99586
192.000,-79.44033
193.000,-79.86754
194.000,-80.27815
195.000,-80.67280
196.000,-81.05213
197.000,-81.41672
198.000,-81.76715
199.000,-82.10397
200.000,-82.42770
201.000,-82.73886
202.000,-83.03792
203.000,-83.32537
204.000,-83.60166
205.000,-83.86721
206.000,-84.12244
207.000,-84.36776
208.000,-84.60355
209.000,-84.83018
210.000,-85.04801
211.000,-85.25738
212.000,-85.45861
213.000,-85.65202
214.000,-85.83792
215.000,-86.01660
216.000,-86.18834
217.000,-86.35341
218.000,-86.51206
219.000,-86.66455
220.000,-86.81112
221.000,-86.95199
222.000,-87.08739
223.000,-87.21754
224.000,-87.34262
225.000,-87.46285
226.000,-87.57840
227.000,-87.68947
228.000,-87.79622
229.000,-87.89883
230.000,-87.99745
231.000,-88.09224
232.000,-88.18334
233.000,-88.27091
234.000,-88.35508
235.000,-88.43597
236.000,-88.51373
237.000,-88.58846
238.000,-88.66029
239.000,-88.72933
240.000,-88.79569
241.000,-88.85947
242.000,-88.92077
243.000,-88.97969
244.000,-89.03632
245.000,-89.09075
246.000,-89.14307
247.000,-89.19335
248.000,-89.24169
249.000,-89.28814
250.000,-89.33279
251.000,-90.43751
252.000,-90.43751
253.000,-90.43751
254.000,-90.43751
255.000,-90.43751
256.000,-90.43751
257.000,-90.43751
258.000,-90.43751
259.000,-90.43751
260.000,-90.43751
261.000,-90.43751
262.000,-90.43751
263.000,-90.43751
264.000,-90.43751
265.000,-90.43751
266.000,-90.43751
267.000,-90.43751
268.000,-90.43751
269.000,-90.43751
270.000,-90.43751
271.000,-90.43751
272.000,-90.43751
273.000,-90.43751
274.000,-90.43751
275.000,-90.43751
276.000,-90.43751
277.000,-90.43751
278.000,-90.43751
279.000,-90.43751
280.000,-90.43751
281.000,-90.43751
282.000,-90.43751
283.000,-90.43751
284.000,-90.43751
285.000,-90.43751
286.000,-90.43751
287.000,-90.43751
288.000,-90.43751
289.000,-90.43751
290.000,-90.43751
291.000,-90.43751
292.000,-90.43751
293.000,-90.43751
294.000,-90.43751
295.000,-90.43751
296.000,-90.43751
297.000,-90.43751
298.000,-90.43751
299.000,-90.43751
300.000,-90.43751
301.000,-90.43751
302.000,-90.43751
303.000,-90.43751
304.000,-90.43751
305.000,-90.43751
306.000,-90.43751
307.000,-90.43751
308.000,-90.43751
309.000,-90.43751
310.000,-90.43751
311.000,-90.43751
312.000,-90.43751
313.000,-90.43751
314.000,-90.43751
315.000,-90.43751
316.000,-90.43751
317.000,-90.43751
318.000,-90.43751
319.000,-90.43751
320.000,-90.43751
321.000,-90.43751
322.000,-90.43751
323.000,-90.43751
324.000,-90.43751
325.000,-90.43751
326.000,-90.43751
327.000,-90.43751
328.000,-90.43751
329.000,-90.43751
330.000,-90.43751
331.000,-90.43751
332.000,-90.43751
333.000,-90.43751
334.000,-90.43751
335.000,-90.43751
336.000,-90.43751
337.000,-90.43751
338.000,-90.43751
339.000,-90.43751
340.000,-90.43751
341.000,-90.43751
342.000,-90.43751
343.000,-90.43751
344.000,-90.43751
345.000,-90.43751
346.000,-90.43751
347.000,-90.43751
348.000,-90.43751
349.000,-90.43751
350.000,-90.43751
351.000,-90.43751
352.000,-90.43751
353.000,-90.43751
354.000,-90.43751
355.000,-90.43751
356.000,-90.43751
357.000,-90.43751
358.000,-90.43751
359.000,-90.43751
360.000,-90.43751
361.000,-90.43751
362.000,-90.43751
363.000,-90.43751
364.000,-90.43751
365.000,-90.43751
366.000,-90.43751
367.000,-90.43751
368.000,-90.43751
369.000,-90.43751
370.000,-90.43751
371.000,-90.43751
372.000,-90.43751
373.000,-90.43751
374.000,-90.43751
375.000,-90.43751
376.000,-90.43751
377.000,-90.43751
378.000,-90.43751
379.000,-90.43751
380.000,-90.43751
381.000,-90.43751
382.000,-90.43751
383.000,-90.43751
384.000,-90.43751
385.000,-90.43751
386.000,-90.43751
387.000,-90.43751
388.000,-90.43751
389.000,-90.43751
390.000,-90.43751
391.000,-90.43751
392.000,-90.43751
393.000,-90.43751
394.000,-90.43751
395.000,-90.43751
396.000,-90.43751
397.000,-90.43751
398.000,-90.43751
399.000,-90.43751
400.000,-90.43751
401.000,-90.43751
402.000,-90.43751
403.000,-90.43751
404.000,-90.43751
405.000,-90.43751
406.000,-90.43751
407.000,-90.43751
408.000,-90.43751
409.000,-90.43751
410.000,-90.43751
411.000,-90.43751
412.000,-90.43751
413.000,-90.43751
414.000,-90.43751
415.000,-90.43751
416.000,-90.43751
417.000,-90.43751
418.000,-90.43751
419.000,-90.43751
420.000,-90.43751
421.000,-90.43751
422.000,-90.43751
423.000,-90.43751
424.000,-90.43751
425.000,-90.43751
426.000,-90.43751
427.000,-90.43751
428.000,-90.43751
429.000,-90.43751
430.000,-90.43751
431.000,-90.43751
432.000,-90.43751
433.000,-90.43751
434.000,-90.43751
435.000,-90.43751
436.000,-90.43751
437.000,-90.43751
438.000,-90.43751
439.000,-90.43751
440.000,-90.43751
441.000,-90.43751
442.000,-90.43751
443.000,-90.43751
444.000,-90.43751
445.000,-90.43751
446.000,-90.43751
447.000,-90.43751
448.000,-90.43751
449.000,-90.43751
450.000,-90.43751
451.000,-90.43751
452.000,-90.43751
453.000,-90.43751
454.000,-90.43751
455.000,-90.43751
456.000,-90.43751
457.000,-90.43751
458.000,-90.43751
459.000,-90.43751
460.000,-90.43751
461.000,-90.43751
462.000,-90.43751
463.000,-90.43751
464.000,-90.43751
465.000,-90.43751
466.000,-90.43751
467.000,-90.43751
468.000,-90.43751
469.000,-90.43751
470.000,-90.43751
471.000,-90.43751
472.000,-90.43751
473.000,-90.43751
474.000,-90.43751
475.000,-90.43751
476.000,-90.43751
477.000,-90.43751
478.000,-90.43751
479.000,-90.43751
480.000,-90.43751
481.000,-90.43751
482.000,-90.43751
483.000,-90.43751
484.000,-90.43751
485.000,-90.43751
486.000,-90.43751
487.000,-90.43751
488.000,-90.43751
489.000,-90.43751
490.000,-90.43751
491.000,-90.43751
492.000,-90.43751
493.000,-90.43751
494.000,-90.43751
495.000,-90.43751
496.000,-90.43751
497.000,-90.43751
498.000,-90.43751
499.000,-90.43751
500.000,-90.43751
501.000,-90.43751
502.000,-90.43751
503.000,-90.43751
504.000,-90.43751
505.000,-90.43751
506.000,-90.43751
507.000,-90.43751
508.000,-90.43751
509.000,-90.43751
510.000,-90.43751
511.000,-90.43751
512.000,-90.43751
513.000,-90.43751
514.000,-90.43751
515.000,-90.43751
516.000,-90.43751
517.000,-90.43751
518.000,-90.43751
519.000,-90.43751
520.000,-90.43751
521.000,-90.43751
522.000,-90.43751
523.000,-90.43751
524.000,-90.43751
525.000,-90.43751
526.000,-90.43751
527.000,-90.43751
528.000,-90.43751
529.000,-90.43751
530.000,-90.43751
531.000,-90.43751
532.000,-90.43751
533.000,-90.43751
534.000,-90.43751
535.000,-90.43751
536.000,-90.43751
537.000,-90.43751
538.000,-90.43751
539.000,-90.43751
540.000,-90.43751
541.000,-90.43751
542.000,-90.43751
543.000,-90.43751
544.000,-90.43751
545.000,-90.43751
546.000,-90.43751
547.000,-90.43751
548.000,-90.43751
549.000,-90.43751
550.000,-90.43751
551.000,-90.43751
552.000,-90.43751
553.000,-90.43751
554.000,-90.43751
555.000,-90.43751
556.000,-90.43751
557.000,-90.43751
558.000,-90.43751
559.000,-90.43751
560.000,-90.43751
561.000,-90.43751
562.000,-90.43751
563.000,-90.43751
564.000,-90.43751
565.000,-90.43751
566.000,-90.43751
567.000,-90.43751
568.000,-90.43751
569.000,-90.43751
570.000,-90.43751
571.000,-90.43751
572.000,-90.43751
573.000,-90.43751
574.000,-90.43751
575.000,-90.43751
576.000,-90.43751
577.000,-90.43751
578.000,-90.43751
579.000,-90.43751
580.000,-90.43751
581.000,-90.43751
582.000,-90.43751
583.000,-90.43751
584.000,-90.43751
585.000,-90.43751
586.000,-90.43751
587.000,-90.43751
588.000,-90.43751
589.000,-90.43751
590.000,-90.43751
591.000,-90.43751
592.000,-90.43751
593.000,-90.43751
594.000,-90.43751
595.000,-90.43751
596.000,-90.43751
597.000,-90.43751
598.000,-90.43751
599.000,-90.43751
600.000,-90.43751
601.000,-90.43751
602.000,-90.43751
603.000,-90.43751
604.000,-90.43751
605.000,-90.43751
606.000,-90.43751
607.000,-90.43751
608.000,-90.43751
609.000,-90.43751
610.000,-90.43751
611.000,-90.43751
612.000,-90.43751
613.000,-90.43751
614.000,-90.43751
615.000,-90.43751
616.000,-90.43751
617.000,-90.43751
618.000,-90.43751
619.000,-90.43751
620.000,-90.43751
621.000,-90.43751
622.000,-90.43751
623.000,-90.43751
624.000,-90.43751
625.000,-90.43751
626.000,-90.43751
627.000,-90.43751
628.000,-90.43751
629.000,-90.43751
630.000,-90.43751
631.000,-90.43751
632.000,-90.43751
633.000,-90.43751
634.000,-90.43751
635.000,-90.43751
636.000,-90.43751
637.000,-90.43751
638.000,-90.43751
639.000,-90.43751
640.000,-90.43751
641.000,-90.43751
642.000,-90.43751
643.000,-90.43751
644.000,-90.43751
645.000,-90.43751
646.000,-90.43751
647.000,-90.43751
648.000,-90.43751
649.000,-90.43751
650.000,-90.43751
651.000,-90.43751
652.000,-90.43751
653.000,-90.43751
654.000,-90.43751
655.000,-90.43751
656.000,-90.43751
657.000,-90.43751
658.000,-90.43751
659.000,-90.43751
660.000,-90.43751
661.000,-90.43751
662.000,-90.43751
663.000,-90.43751
664.000,-90.43751
665.000,-90.43751
666.000,-90.43751
667.000,-90.43751
668.000,-90.43751
669.000,-90.43751
670.000,-90.43751
671.000,-90.43751
672.000,-90.43751
673.000,-90.43751
674.000,-90.43751
675.000,-90.43751
676.000,-90.43751
677.000,-90.43751
678.000,-90.43751
679.000,-90.43751
680.000,-90.43751
681.000,-90.43751
682.000,-90.43751
683.000,-90.43751
684.000,-90.43751
685.000,-90.43751
686.000,-90.43751
687.000,-90.43751
688.000,-90.43751
689.000,-90.43751
690.000,-90.43751
691.000,-90.43751
692.000,-90.43751
693.000,-90.43751
694.000,-90.43751
695.000,-90.43751
696.000,-90.43751
697.000,-90.43751
698.000,-90.43751
699.000,-90.43751
700.000,-90.43751
701.000,-90.43751
702.000,-90.43751
703.000,-90.43751
704.000,-90.43751
705.000,-90.43751
706.000,-90.43751
707.000,-90.43751
708.000,-90.43751
709.000,-90.43751
710.000,-90.43751
711.000,-90.43751
712.000,-90.43751
713.000,-90.43751
714.000,-90.43751
715.000,-90.43751
716.000,-90.43751
717.000,-90.43751
718.000,-90.43751
719.000,-90.43751
720.000,-90.43751
721.000,-90.43751
722.000,-90.43751
723.000,-90.43751
724.000,-90.43751
725.000,-90.43751
726.000,-90.43751
727.000,-90.43751
728.000,-90.43751
729.000,-90.43751
730.000,-90.43751
731.000,-90.43751
732.000,-90.43751
733.000,-90.43751
734.000,-90.43751
735.000,-90.43751
736.000,-90.43751
737.000,-90.43751
738.000,-90.43751
739.000,-90.43751
740.000,-90.43751
741.000,-90.43751
742.000,-90.43751
743.000,-90.43751
744.000,-90.43751
745.000,-90.43751
746.000,-90.43751
747.000,-90.43751
748.000,-90.43751
749.000,-90.43751
750.000,-90.43751
751.000,-90.43751
752.000,-90.43751
753.000,-90.43751
754.000,-90.43751
755.000,-90.43751
756.000,-90.43751
757.000,-90.43751
758.000,-90.43751
759.000,-90.43751
760.000,-90.43751
761.000,-90.43751
762.000,-90.43751
763.000,-90.43751
764.000,-90.43751
765.000,-90.43751
766.000,-90.43751
767.000,-90.43751
768.000,-90.43751
769.000,-90.43751
770.000,-90.43751
771.000,-90.43751
772.000,-90.43751
773.000,-90.43751
774.000,-90.43751
775.000,-90.43751
776.000,-90.43751
777.000,-90.43751
778.000,-90.43751
779.000,-90.43751
780.000,-90.43751
781.000,-90.43751
