time_ms,vm_mV
0.000,-90.84755
1.000,-38.55834
2.000,24.84713
3.000,27.47500
4.000,26.95621
5.000,26.43742
6.000,25.91864
7.000,25.39985
8.000,24.88106
9.000,24.36227
10.000,23.84348
11.000,23.32469
12.000,22.80591
13.000,22.28712
14.000,21.76833
15.000,21.24954
16.000,20.73075
17.000,20.21196
18.000,19.69318
19.000,19.17439
20.000,18.65560
21.000,18.13681
22.000,17.61802
23.000,17.09923
24.000,16.58045
25.000,16.06166
26.000,15.54287
27.000,15.02408
28.000,14.50529
29.000,13.98650
30.000,13.46772
31.000,12.94893
32.000,12.43014
33.000,11.91135
34.000,11.39256
35.000,10.87377
36.000,10.35499
37.000,9.83620
38.000,9.31741
39.000,8.79862
40.000,8.27983
41.000,7.76104
42.000,7.24226
43.000,6.72347
44.000,6.20468
45.000,5.68589
46.000,5.16710
47.000,4.64831
48.000,4.12953
49.000,3.61074
50.000,3.09195
51.000,2.57316
52.000,2.05437
53.000,1.53559
54.000,1.01680
55.000,0.49801
56.000,-0.02078
57.000,-0.53957
58.000,-1.05836
59.000,-1.57714
60.000,-2.09593
61.000,-2.61472
62.000,-3.13351
63.000,-3.65230
64.000,-4.17109
65.000,-4.68987
66.000,-5.20866
67.000,-5.72745
68.000,-6.24624
69.000,-6.76503
70.000,-7.28382
71.000,-7.80260
72.000,-8.32139
73.000,-8.84018
74.000,-9.35897
75.000,-9.87776
76.000,-10.39655
77.000,-10.91533
78.000,-11.43412
79.000,-11.95291
80.000,-12.47170
81.000,-12.99049
82.000,-13.50928
83.000,-14.02806
84.000,-14.54685
85.000,-15.06564
86.000,-15.58443
87.000,-16.10322
88.000,-16.62201
89.000,-17.14079
90.000,-17.65958
91.000,-18.17837
92.000,-18.69716
93.000,-19.21595
94.000,-19.73474
95.000,-20.25352
96.000,-20.77231
97.000,-21.29110
98.000,-21.80989
99.000,-22.32868
100.000,-22.84747
101.000,-23.36625
102.000,-23.88504
103.000,-24.40383
104.000,-24.92262
105.000,-25.44141
106.000,-25.96020
107.000,-26.47898
108.000,-26.99777
109.000,-27.51656
110.000,-28.03535
111.000,-28.55414
112.000,-29.07293
113.000,-29.59171
114.000,-30.11050
115.000,-30.62929
116.000,-31.14808
117.000,-31.66687
118.000,-32.18566
119.000,-33.28438
120.000,-36.01796
121.000,-38.62560
122.000,-41.11311
123.000,-43.48603
124.000,-45.74963
125.000,-47.90895
126.000,-49.96880
127.000,-51.93375
128.000,-53.80818
129.000,-55.59626
130.000,-57.30196
131.000,-58.92909
132.000,-60.48126
133.000,-61.96192
134.000,-63.37437
135.000,-64.72175
136.000,-66.00706
137.000,-67.23315
138.000,-68.40277
139.000,-69.51850
140.000,-70.58283
141.000,-71.59813
142.000,-72.56666
143.000,-73.49056
144.000,-74.37191
145.000,-75.21265
146.000,-76.01467
147.000,-76.77973
148.000,-77.50955
149.000,-78.20575
150.000,-78.86987
151.000,-79.50340
152.000,-80.10775
153.000,-80.68425
154.000,-81.23420
155.000,-81.75881
156.000,-82.25925
157.000,-82.73663
158.000,-83.19203
159.000,-83.62645
160.000,-84.04085
161.000,-84.43616
162.000,-84.81326
163.000,-85.17299
164.000,-85.51615
165.000,-85.84350
166.000,-86.15576
167.000,-86.45365
168.000,-86.73780
169.000,-87.00887
170.000,-87.26745
171.000,-87.51412
172.000,-87.74943
173.000,-87.97389
174.000,-88.18802
175.000,-88.39227
176.000,-88.58712
177.000,-88.77300
178.000,-88.95031
179.000,-89.11945
180.000,-89.28080
181.000,-89.43472
182.000,-89.58154
183.000,-89.72161
184.000,-89.85522
185.000,-89.98267
186.000,-90.10425
187.000,-90.22024
188.000,-90.33087
189.000,-90.43642
190.000,-90.53710
191.000,-90.63314
192.000,-90.72476
193.000,-90.81215
194.000,-90.89552
195.000,-90.97505
196.000,-91.05092
197.000,-91.12329
198.000,-91.19233
199.000,-91.25818
200.000,-91.32100
201.000,-91.38093
202.000,-91.43810
203.000,-91.49263
204.000,-92.62187
205.000,-92.62187
206.000,-92.62187
207.000,-92.62187
208.000,-92.62187
209.000,-92.62187
210.000,-92.62187
211.000,-92.62187
212.000,-92.62187
213.000,-92.62187
214.000,-92.62187
215.000,-92.62187
216.000,-92.62187
217.000,-92.62187
218.000,-92.62187
219.000,-92.62187
220.000,-92.62187
221.000,-92.62187
222.000,-92.62187
223.000,-92.62187
224.000,-92.62187
225.000,-92.62187
226.000,-92.62187
227.000,-92.62187
228.000,-92.62187
229.000,-92.62187
230.000,-92.62187
231.000,-92.62187
232.000,-92.62187
233.000,-92.62187
234.000,-92.62187
235.000,-92.62187
236.000,-92.62187
237.000,-92.62187
238.000,-92.62187
239.000,-92.62187
240.000,-92.62187
241.000,-92.62187
242.000,-92.62187
243.000,-92.62187
244.000,-92.62187
245.000,-92.62187
246.000,-92.62187
247.000,-92.62187
248.000,-92.62187
249.000,-92.62187
250.000,-92.62187
251.000,-92.62187
252.000,-92.62187
253.000,-92.62187
254.000,-92.62187
255.000,-92.62187
256.000,-92.62187
257.000,-92.62187
258.000,-92.62187
259.000,-92.62187
260.000,-92.62187
261.000,-92.62187
262.000,-92.62187
263.000,-92.62187
264.000,-92.62187
265.000,-92.62187
266.000,-92.62187
267.000,-92.62187
268.000,-92.62187
269.000,-92.62187
270.000,-92.62187
271.000,-92.62187
272.000,-92.62187
273.000,-92.62187
274.000,-92.62187
275.000,-92.62187
276.000,-92.62187
277.000,-92.62187
278.000,-92.62187
279.000,-92.62187
280.000,-92.62187
281.000,-92.62187
282.000,-92.62187
283.000,-92.62187
284.000,-92.62187
285.000,-92.62187
286.000,-92.62187
287.000,-92.62187
288.000,-92.62187
289.000,-92.62187
290.000,-92.62187
291.000,-92.62187
292.000,-92.62187
293.000,-92.62187
294.000,-92.62187
295.000,-92.62187
296.000,-92.62187
297.000,-92.62187
298.000,-92.62187
299.000,-92.62187
300.000,-92.62187
301.000,-92.62187
302.000,-92.62187
303.000,-92.62187
304.000,-92.62187
305.000,-92.62187
306.000,-92.62187
307.000,-92.62187
308.000,-92.62187
309.000,-92.62187
310.000,-92.62187
311.000,-92.62187
312.000,-92.62187
313.000,-92.62187
314.000,-92.62187
315.000,-92.62187
316.000,-92.62187
317.000,-92.62187
318.000,-92.62187
319.000,-92.62187
320.000,-92.62187
321.000,-92.62187
322.000,-92.62187
323.000,-92.62187
