time_ms,vm_mV
0.000,-91.04948
1.000,-91.04948
2.000,-91.04948
3.000,-91.04948
4.000,-91.04948
5.000,-91.04948
6.000,-91.04948
7.000,-91.04948
8.000,-89.28210
9.000,-37.19708
10.000,25.96079
11.000,28.57840
12.000,28.09260
13.000,27.60680
14.000,27.12100
15.000,26.63521
16.000,26.14941
17.000,25.66361
18.000,25.17781
19.000,24.69201
20.000,24.20622
21.000,23.72042
22.000,23.23462
23.000,22.74882
24.000,22.26303
25.000,21.77723
26.000,21.29143
27.000,20.80563
28.000,20.31984
29.000,19.83404
30.000,19.34824
31.000,18.86244
32.000,18.37664
33.000,17.89085
34.000,17.40505
35.000,16.91925
36.000,16.43345
37.000,15.94766
38.000,15.46186
39.000,14.97606
40.000,14.49026
41.000,14.00447
42.000,13.51867
43.000,13.03287
44.000,12.54707
45.000,12.06128
46.000,11.57548
47.000,11.08968
48.000,10.60388
49.000,10.11808
50.000,9.63229
51.000,9.14649
52.000,8.66069
53.000,8.17489
54.000,7.68910
55.000,7.20330
56.000,6.71750
57.000,6.23170
58.000,5.74591
59.000,5.26011
60.000,4.77431
61.000,4.28851
62.000,3.80271
63.000,3.31692
64.000,2.83112
65.000,2.34532
66.000,1.85952
67.000,1.37373
68.000,0.88793
69.000,0.40213
70.000,-0.08367
71.000,-0.56946
72.000,-1.05526
73.000,-1.54106
74.000,-2.02686
75.000,-2.51266
76.000,-2.99845
77.000,-3.48425
78.000,-3.97005
79.000,-4.45585
80.000,-4.94164
81.000,-5.42744
82.000,-5.91324
83.000,-6.39904
84.000,-6.88483
85.000,-7.37063
86.000,-7.85643
87.000,-8.34223
88.000,-8.82803
89.000,-9.31382
90.000,-9.79962
91.000,-10.28542
92.000,-10.77122
93.000,-11.25701
94.000,-11.74281
95.000,-12.22861
96.000,-12.71441
97.000,-13.20020
98.000,-13.68600
99.000,-14.17180
100.000,-14.65760
101.000,-15.14340
102.000,-15.62919
103.000,-16.11499
104.000,-16.60079
105.000,-17.08659
106.000,-17.57238
107.000,-18.05818
108.000,-18.54398
109.000,-19.02978
110.000,-19.51557
111.000,-20.00137
112.000,-20.48717
113.000,-20.97297
114.000,-21.45877
115.000,-21.94456
116.000,-22.43036
117.000,-22.91616
118.000,-23.40196
119.000,-23.88775
120.000,-24.37355
121.000,-24.85935
122.000,-25.34515
123.000,-25.83094
124.000,-26.31674
125.000,-26.80254
126.000,-27.28834
127.000,-27.77414
128.000,-28.25993
129.000,-28.74573
130.000,-29.23153
131.000,-29.71733
132.000,-30.20312
133.000,-30.68892
134.000,-31.17472
135.000,-33.50598
136.000,-35.99601
137.000,-38.37829
138.000,-40.65748
139.000,-42.83805
140.000,-44.92426
141.000,-46.92019
142.000,-48.82976
143.000,-50.65670
144.000,-52.40458
145.000,-54.07682
146.000,-55.67671
147.000,-57.20736
148.000,-58.67178
149.000,-60.07283
150.000,-61.41325
151.000,-62.69568
152.000,-63.92260
153.000,-65.09644
154.000,-66.21948
155.000,-67.29393
156.000,-68.32188
157.000,-69.30535
158.000,-70.24627
159.000,-71.14646
160.000,-72.00771
161.000,-72.83169
162.000,-73.62001
163.000,-74.37422
164.000,-75.09579
165.000,-75.78614
166.000,-76.44662
167.000,-77.07852
168.000,-77.68307
169.000,-78.26146
170.000,-78.81483
171.000,-79.34424
172.000,-79.85075
173.000,-80.33535
174.000,-80.79897
175.000,-81.24253
