time_ms,vm_mV
0.000,-90.84755
1.000,-38.55834
2.000,24.84713
3.000,27.47500
4.000,26.99435
5.000,26.51370
6.000,26.03305
7.000,25.55239
8.000,25.07174
9.000,24.59109
10.000,24.11044
11.000,23.62979
12.000,23.14914
13.000,22.66849
14.000,22.18783
15.000,21.70718
16.000,21.22653
17.000,20.74588
18.000,20.26523
19.000,19.78458
20.000,19.30393
21.000,18.82327
22.000,18.34262
23.000,17.86197
24.000,17.38132
25.000,16.90067
26.000,16.42002
27.000,15.93936
28.000,15.45871
29.000,14.97806
30.000,14.49741
31.000,14.01676
32.000,13.53611
33.000,13.05546
34.000,12.57480
35.000,12.09415
36.000,11.61350
37.000,11.13285
38.000,10.65220
39.000,10.17155
40.000,9.69089
41.000,9.21024
42.000,8.72959
43.000,8.24894
44.000,7.76829
45.000,7.28764
46.000,6.80699
47.000,6.32633
48.000,5.84568
49.000,5.36503
50.000,4.88438
51.000,4.40373
52.000,3.92308
53.000,3.44242
54.000,2.96177
55.000,2.48112
56.000,2.00047
57.000,1.51982
58.000,1.03917
59.000,0.55852
60.000,0.07786
61.000,-0.40279
62.000,-0.88344
63.000,-1.36409
64.000,-1.84474
65.000,-2.32539
66.000,-2.80604
67.000,-3.28670
68.000,-3.76735
69.000,-4.24800
70.000,-4.72865
71.000,-5.20930
72.000,-5.68995
73.000,-6.17061
74.000,-6.65126
75.000,-7.13191
76.000,-7.61256
77.000,-8.09321
78.000,-8.57386
79.000,-9.05451
80.000,-9.53517
81.000,-10.01582
82.000,-10.49647
83.000,-10.97712
84.000,-11.45777
85.000,-11.93842
86.000,-12.41908
87.000,-12.89973
88.000,-13.38038
89.000,-13.86103
90.000,-14.34168
91.000,-14.82233
92.000,-15.30298
93.000,-15.78364
94.000,-16.26429
95.000,-16.74494
96.000,-17.22559
97.000,-17.70624
98.000,-18.18689
99.000,-18.66754
100.000,-19.14820
101.000,-19.62885
102.000,-20.10950
103.000,-20.59015
104.000,-21.07080
105.000,-21.55145
106.000,-22.03211
107.000,-22.51276
108.000,-22.99341
109.000,-23.47406
110.000,-23.95471
111.000,-24.43536
112.000,-24.91601
113.000,-25.39667
114.000,-25.87732
115.000,-26.35797
116.000,-26.83862
117.000,-27.31927
118.000,-27.79992
119.000,-28.28058
120.000,-28.76123
121.000,-29.24188
122.000,-29.72253
123.000,-30.20318
124.000,-30.68383
125.000,-31.16448
126.000,-31.64514
127.000,-32.12579
128.000,-32.75382
129.000,-35.32008
130.000,-37.77633
131.000,-40.12730
132.000,-42.37749
133.000,-44.53123
134.000,-46.59264
135.000,-48.56570
136.000,-50.45417
137.000,-52.26170
138.000,-53.99175
139.000,-55.64764
140.000,-57.23255
141.000,-58.74952
142.000,-60.20147
143.000,-61.59117
144.000,-62.92131
145.000,-64.19443
146.000,-65.41298
147.000,-66.57930
148.000,-67.69562
149.000,-68.76409
150.000,-69.78676
151.000,-70.76559
152.000,-71.70246
153.000,-72.59918
154.000,-73.45745
155.000,-74.27894
156.000,-75.06522
157.000,-75.81779
158.000,-76.53810
159.000,-77.22753
160.000,-77.88741
161.000,-78.51901
162.000,-79.12353
163.000,-79.70214
164.000,-80.25595
165.000,-80.78602
166.000,-81.29336
167.000,-81.77896
168.000,-82.24374
169.000,-82.68860
170.000,-83.11440
171.000,-83.52194
172.000,-83.91201
173.000,-84.28536
174.000,-84.64270
175.000,-84.98473
176.000,-85.31210
177.000,-85.62543
178.000,-85.92534
179.000,-86.21239
180.000,-86.48713
181.000,-86.75010
182.000,-87.00179
183.000,-87.24270
184.000,-87.47328
185.000,-87.69397
186.000,-87.90521
187.000,-88.10739
188.000,-88.30090
189.000,-88.48612
190.000,-88.66340
191.000,-88.83308
192.000,-88.99549
193.000,-89.15093
194.000,-89.29972
195.000,-89.44212
196.000,-89.57842
197.000,-89.70888
198.000,-89.83375
199.000,-89.95326
200.000,-90.06765
201.000,-90.17714
202.000,-90.28193
203.000,-90.38223
204.000,-90.47823
205.000,-90.57012
206.000,-90.65807
207.000,-90.74225
208.000,-90.82282
209.000,-90.89994
210.000,-90.97375
211.000,-91.04439
212.000,-91.11201
213.000,-91.17673
214.000,-91.23868
215.000,-91.29797
216.000,-91.35472
217.000,-91.40903
218.000,-91.46102
219.000,-91.51078
220.000,-92.62187
221.000,-92.62187
222.000,-92.62187
223.000,-92.62187
224.000,-92.62187
225.000,-92.62187
226.000,-92.62187
227.000,-92.62187
228.000,-92.62187
229.000,-92.62187
230.000,-92.62187
231.000,-92.62187
232.000,-92.62187
233.000,-92.62187
234.000,-92.62187
235.000,-92.62187
236.000,-92.62187
237.000,-92.62187
238.000,-92.62187
239.000,-92.62187
240.000,-92.62187
241.000,-92.62187
242.000,-92.62187
243.000,-92.62187
244.000,-92.62187
245.000,-92.62187
246.000,-92.62187
247.000,-92.62187
248.000,-92.62187
249.000,-92.62187
250.000,-92.62187
251.000,-92.62187
252.000,-92.62187
253.000,-92.62187
254.000,-92.62187
255.000,-92.62187
256.000,-92.62187
257.000,-92.62187
258.000,-92.62187
259.000,-92.62187
260.000,-92.62187
261.000,-92.62187
262.000,-92.62187
263.000,-92.62187
264.000,-92.62187
265.000,-92.62187
266.000,-92.62187
267.000,-92.62187
268.000,-92.62187
269.000,-92.62187
270.000,-92.62187
271.000,-92.62187
272.000,-92.62187
273.000,-92.62187
274.000,-92.62187
275.000,-92.62187
276.000,-92.62187
277.000,-92.62187
278.000,-92.62187
279.000,-92.62187
280.000,-92.62187
281.000,-92.62187
282.000,-92.62187
283.000,-92.62187
284.000,-92.62187
285.000,-92.62187
286.000,-92.62187
287.000,-92.62187
288.000,-92.62187
289.000,-92.62187
290.000,-92.62187
291.000,-92.62187
292.000,-92.62187
293.000,-92.62187
294.000,-92.62187
295.000,-92.62187
296.000,-92.62187
297.000,-92.62187
298.000,-92.62187
299.000,-92.62187
300.000,-92.62187
301.000,-92.62187
302.000,-92.62187
303.000,-92.62187
304.000,-92.62187
305.000,-92.62187
306.000,-92.62187
307.000,-92.62187
308.000,-92.62187
309.000,-92.62187
310.000,-92.62187
311.000,-92.62187
312.000,-92.62187
313.000,-92.62187
314.000,-92.62187
315.000,-92.62187
316.000,-92.62187
317.000,-92.62187
318.000,-92.62187
319.000,-92.62187
320.000,-92.62187
321.000,-92.62187
322.000,-92.62187
323.000,-92.62187
