time_ms,vm_mV
0.000,-88.95821
1.000,-37.01119
2.000,25.97935
3.000,28.59002
4.000,28.12578
5.000,27.66154
6.000,27.19730
7.000,26.73306
8.000,26.26882
9.000,25.80458
10.000,25.34034
11.000,24.87610
12.000,24.41186
13.000,23.94762
14.000,23.48338
15.000,23.01914
16.000,22.55490
17.000,22.09066
18.000,21.62642
19.000,21.16218
20.000,20.69794
21.000,20.23370
22.000,19.76946
23.000,19.30522
24.000,18.84098
25.000,18.37674
26.000,17.91250
27.000,17.44826
28.000,16.98402
29.000,16.51978
30.000,16.05554
31.000,15.59130
32.000,15.12706
33.000,14.66282
34.000,14.19858
35.000,13.73434
36.000,13.27010
37.000,12.80586
38.000,12.34162
39.000,11.87738
40.000,11.41314
41.000,10.94890
42.000,10.48466
43.000,10.02042
44.000,9.55618
45.000,9.09194
46.000,8.62769
47.000,8.16345
48.000,7.69921
49.000,7.23497
50.000,6.77073
51.000,6.30649
52.000,5.84225
53.000,5.37801
54.000,4.91377
55.000,4.44953
56.000,3.98529
57.000,3.52105
58.000,3.05681
59.000,2.59257
60.000,2.12833
61.000,1.66409
62.000,1.19985
63.000,0.73561
64.000,0.27137
65.000,-0.19287
66.000,-0.65711
67.000,-1.12135
68.000,-1.58559
69.000,-2.04983
70.000,-2.51407
71.000,-2.97831
72.000,-3.44255
73.000,-3.90679
74.000,-4.37103
75.000,-4.83527
76.000,-5.29951
77.000,-5.76375
78.000,-6.22799
79.000,-6.69223
80.000,-7.15647
81.000,-7.62071
82.000,-8.08495
83.000,-8.54919
84.000,-9.01343
85.000,-9.47767
86.000,-9.94191
87.000,-10.40615
88.000,-10.87039
89.000,-11.33464
90.000,-11.79888
91.000,-12.26312
92.000,-12.72736
93.000,-13.19160
94.000,-13.65584
95.000,-14.12008
96.000,-14.58432
97.000,-15.04856
98.000,-15.51280
99.000,-15.97704
100.000,-16.44128
101.000,-16.90552
102.000,-17.36976
103.000,-17.83400
104.000,-18.29824
105.000,-18.76248
106.000,-19.22672
107.000,-19.69096
108.000,-20.15520
109.000,-20.61944
110.000,-21.08368
111.000,-21.54792
112.000,-22.01216
113.000,-22.47640
114.000,-22.94064
115.000,-23.40488
116.000,-23.86912
117.000,-24.33336
118.000,-24.79760
119.000,-25.26184
120.000,-25.72608
121.000,-26.19032
122.000,-26.65456
123.000,-27.11880
124.000,-27.58304
125.000,-28.04728
126.000,-28.51152
127.000,-28.97576
128.000,-29.44000
129.000,-29.90424
130.000,-30.36848
131.000,-30.83272
132.000,-32.31032
133.000,-34.72878
134.000,-37.04711
135.000,-39.26946
136.000,-41.39978
137.000,-43.44190
138.000,-45.39947
139.000,-47.27599
140.000,-49.07481
141.000,-50.79914
142.000,-52.45209
143.000,-54.03659
144.000,-55.55549
145.000,-57.01150
146.000,-58.40723
147.000,-59.74516
148.000,-61.02770
149.000,-62.25713
150.000,-63.43567
151.000,-64.56540
152.000,-65.64836
153.000,-66.68648
154.000,-67.68161
155.000,-68.63555
156.000,-69.54998
157.000,-70.42655
158.000,-71.26683
159.000,-72.07232
160.000,-72.84446
161.000,-73.58463
162.000,-74.29415
163.000,-74.97429
164.000,-75.62627
165.000,-76.25126
166.000,-76.85037
167.000,-77.42467
168.000,-77.97520
169.000,-78.50293
170.000,-79.00881
171.000,-79.49375
172.000,-79.95860
173.000,-80.40421
174.000,-80.83137
175.000,-81.24084
176.000,-81.63336
177.000,-82.00963
178.000,-82.37031
179.000,-82.71607
180.000,-83.04750
181.000,-83.36522
182.000,-83.66978
183.000,-83.96173
184.000,-84.24159
185.000,-84.50986
186.000,-84.76703
187.000,-85.01355
188.000,-85.24986
189.000,-85.47638
190.000,-85.69353
191.000,-85.90169
192.000,-86.10123
193.000,-86.29250
194.000,-86.47586
195.000,-86.65162
196.000,-86.82011
197.000,-86.98162
198.000,-87.13645
199.000,-87.28486
200.000,-87.42713
201.000,-87.56351
202.000,-87.69424
203.000,-87.81956
204.000,-87.93968
