time_ms,vm_mV
0.000,-88.88125
1.000,-88.88125
2.000,-88.88125
3.000,-88.88125
4.000,-88.88125
5.000,-88.88125
6.000,-88.88125
7.000,-88.88125
8.000,-87.09235
9.000,-34.37349
10.000,29.55298
11.000,32.20244
12.000,31.77863
13.000,31.35481
14.000,30.93099
15.000,30.50718
16.000,30.08336
17.000,29.65955
18.000,29.23573
19.000,28.81191
20.000,28.38810
21.000,27.96428
22.000,27.54046
23.000,27.11665
24.000,26.69283
25.000,26.26901
26.000,25.84520
27.000,25.42138
28.000,24.99756
29.000,24.57375
30.000,24.14993
31.000,23.72612
32.000,23.30230
33.000,22.87848
34.000,22.45467
35.000,22.03085
36.000,21.60703
37.000,21.18322
38.000,20.75940
39.000,20.33558
40.000,19.91177
41.000,19.48795
42.000,19.06414
43.000,18.64032
44.000,18.21650
45.000,17.79269
46.000,17.36887
47.000,16.94505
48.000,16.52124
49.000,16.09742
50.000,15.67360
51.000,15.24979
52.000,14.82597
53.000,14.40216
54.000,13.97834
55.000,13.55452
56.000,13.13071
57.000,12.70689
58.000,12.28307
59.000,11.85926
60.000,11.43544
61.000,11.01162
62.000,10.58781
63.000,10.16399
64.000,9.74017
65.000,9.31636
66.000,8.89254
67.000,8.46873
68.000,8.04491
69.000,7.62109
70.000,7.19728
71.000,6.77346
72.000,6.34964
73.000,5.92583
74.000,5.50201
75.000,5.07819
76.000,4.65438
77.000,4.23056
78.000,3.80675
79.000,3.38293
80.000,2.95911
81.000,2.53530
82.000,2.11148
83.000,1.68766
84.000,1.26385
85.000,0.84003
86.000,0.41621
87.000,-0.00760
88.000,-0.43142
89.000,-0.85523
90.000,-1.27905
91.000,-1.70287
92.000,-2.12668
93.000,-2.55050
94.000,-2.97432
95.000,-3.39813
96.000,-3.82195
97.000,-4.24577
98.000,-4.66958
99.000,-5.09340
100.000,-5.51721
101.000,-5.94103
102.000,-6.36485
103.000,-6.78866
104.000,-7.21248
105.000,-7.63630
106.000,-8.06011
107.000,-8.48393
108.000,-8.90775
109.000,-9.33156
110.000,-9.75538
111.000,-10.17920
112.000,-10.60301
113.000,-11.02683
114.000,-11.45064
115.000,-11.87446
116.000,-12.29828
117.000,-12.72209
118.000,-13.14591
119.000,-13.56973
120.000,-13.99354
121.000,-14.41736
122.000,-14.84118
123.000,-15.26499
124.000,-15.68881
125.000,-16.11262
126.000,-16.53644
127.000,-16.96026
128.000,-17.38407
129.000,-17.80789
130.000,-18.23171
131.000,-18.65552
132.000,-19.07934
133.000,-19.50316
134.000,-19.92697
135.000,-20.35079
136.000,-20.77460
137.000,-21.19842
138.000,-21.62224
139.000,-22.04605
140.000,-22.46987
141.000,-22.89369
142.000,-23.31750
143.000,-23.74132
144.000,-24.16514
145.000,-24.58895
146.000,-25.01277
147.000,-25.43659
148.000,-25.86040
149.000,-26.28422
150.000,-26.70803
151.000,-27.13185
152.000,-27.55567
153.000,-27.97948
154.000,-28.69251
155.000,-30.98302
156.000,-33.18636
157.000,-35.30585
158.000,-37.34469
159.000,-39.30593
160.000,-41.19254
161.000,-43.00735
162.000,-44.75310
163.000,-46.43242
164.000,-48.04782
165.000,-49.60176
166.000,-51.09655
167.000,-52.53447
168.000,-53.91766
169.000,-55.24821
170.000,-56.52813
171.000,-57.75934
172.000,-58.94370
173.000,-60.08298
174.000,-61.17891
175.000,-62.23314
176.000,-63.24724
177.000,-64.22275
178.000,-65.16114
179.000,-66.06382
180.000,-66.93215
181.000,-67.76743
182.000,-68.57092
183.000,-69.34384
184.000,-70.08735
185.000,-70.80255
186.000,-71.49055
187.000,-72.15236
188.000,-72.78898
189.000,-73.40138
190.000,-73.99047
191.000,-74.55715
192.000,-75.10226
193.000,-75.62662
194.000,-76.13103
195.000,-76.61625
196.000,-77.08300
197.000,-77.53198
198.000,-77.96388
199.000,-78.37935
200.000,-78.77900
201.000,-79.16345
202.000,-79.53326
203.000,-79.88900
204.000,-80.23121
205.000,-80.56039
206.000,-80.87704
207.000,-81.18164
208.000,-81.47466
209.000,-81.75652
210.000,-82.02765
211.000,-82.28847
212.000,-82.53936
213.000,-82.78070
214.000,-83.01286
215.000,-83.23618
216.000,-83.45101
217.000,-83.65766
218.000,-83.85644
219.000,-84.04767
220.000,-84.23161
221.000,-84.40855
222.000,-84.57876
223.000,-84.74250
224.000,-84.90000
225.000,-85.05151
226.000,-85.19725
227.000,-85.33744
228.000,-85.47231
229.000,-85.60203
230.000,-85.72683
231.000,-85.84687
232.000,-85.96234
233.000,-86.07342
234.000,-86.18028
235.000,-86.28306
236.000,-86.38194
237.000,-86.47705
238.000,-86.56854
239.000,-86.65655
240.000,-86.74121
241.000,-86.82265
242.000,-86.90100
243.000,-86.97635
244.000,-87.04885
245.000,-87.11858
246.000,-87.18566
247.000,-87.25018
248.000,-87.31225
249.000,-87.37196
250.000,-87.42940
251.000,-87.48465
252.000,-87.53780
253.000,-87.58892
254.000,-87.63810
255.000,-87.68541
256.000,-87.73092
257.000,-88.88125
258.000,-88.88125
259.000,-88.88125
260.000,-88.88125
261.000,-88.88125
262.000,-88.88125
263.000,-88.88125
264.000,-88.88125
265.000,-88.88125
266.000,-88.88125
267.000,-88.88125
268.000,-88.88125
269.000,-88.88125
270.000,-88.88125
271.000,-88.88125
272.000,-88.88125
273.000,-88.88125
274.000,-88.88125
275.000,-88.88125
276.000,-88.88125
277.000,-88.88125
278.000,-88.88125
279.000,-88.88125
280.000,-88.88125
281.000,-88.88125
282.000,-88.88125
283.000,-88.88125
284.000,-88.88125
285.000,-88.88125
286.000,-88.88125
287.000,-88.88125
288.000,-88.88125
289.000,-88.88125
290.000,-88.88125
291.000,-88.88125
292.000,-88.88125
293.000,-88.88125
294.000,-88.88125
295.000,-88.88125
296.000,-88.88125
297.000,-88.88125
298.000,-88.88125
299.000,-88.88125
300.000,-88.88125
301.000,-88.88125
302.000,-88.88125
303.000,-88.88125
304.000,-88.88125
305.000,-88.88125
306.000,-88.88125
307.000,-88.88125
308.000,-88.88125
309.000,-88.88125
310.000,-88.88125
311.000,-88.88125
312.000,-88.88125
313.000,-88.88125
314.000,-88.88125
315.000,-88.88125
316.000,-88.88125
317.000,-88.88125
318.000,-88.88125
319.000,-88.88125
320.000,-88.88125
321.000,-88.88125
322.000,-88.88125
323.000,-88.88125
324.000,-88.88125
325.000,-88.88125
326.000,-88.88125
327.000,-88.88125
328.000,-88.88125
329.000,-88.88125
330.000,-88.88125
331.000,-88.88125
332.000,-88.88125
333.000,-88.88125
334.000,-88.88125
335.000,-88.88125
336.000,-88.88125
337.000,-88.88125
338.000,-88.88125
339.000,-88.88125
340.000,-88.88125
341.000,-88.88125
342.000,-88.88125
343.000,-88.88125
344.000,-88.88125
345.000,-88.88125
346.000,-88.88125
347.000,-88.88125
348.000,-88.88125
349.000,-88.88125
350.000,-88.88125
351.000,-88.88125
352.000,-88.88125
353.000,-88.88125
354.000,-88.88125
355.000,-88.88125
356.000,-88.88125
357.000,-88.88125
358.000,-88.88125
359.000,-88.88125
360.000,-88.88125
361.000,-88.88125
362.000,-88.88125
363.000,-88.88125
364.000,-88.88125
365.000,-88.88125
366.000,-88.88125
367.000,-88.88125
368.000,-88.88125
369.000,-88.88125
370.000,-88.88125
371.000,-88.88125
372.000,-88.88125
373.000,-88.88125
374.000,-88.88125
375.000,-88.88125
376.000,-88.88125
377.000,-88.88125
378.000,-88.88125
379.000,-88.88125
380.000,-88.88125
381.000,-88.88125
382.000,-88.88125
383.000,-88.88125
384.000,-88.88125
385.000,-88.88125
386.000,-88.88125
387.000,-88.88125
388.000,-88.88125
389.000,-88.88125
390.000,-88.88125
391.000,-88.88125
392.000,-88.88125
393.000,-88.88125
394.000,-88.88125
395.000,-88.88125
396.000,-88.88125
397.000,-88.88125
398.000,-88.88125
399.000,-88.88125
400.000,-88.88125
401.000,-88.88125
402.000,-88.88125
403.000,-88.88125
404.000,-88.88125
405.000,-88.88125
406.000,-88.88125
407.000,-88.88125
408.000,-88.88125
409.000,-88.88125
410.000,-88.88125
411.000,-88.88125
412.000,-88.88125
413.000,-88.88125
414.000,-88.88125
415.000,-88.88125
416.000,-88.88125
417.000,-88.88125
418.000,-88.88125
419.000,-88.88125
420.000,-88.88125
421.000,-88.88125
422.000,-88.88125
423.000,-88.88125
424.000,-88.88125
425.000,-88.88125
426.000,-88.88125
427.000,-88.88125
428.000,-88.88125
429.000,-88.88125
430.000,-88.88125
431.000,-88.88125
432.000,-88.88125
433.000,-88.88125
434.000,-88.88125
435.000,-88.88125
436.000,-88.88125
437.000,-88.88125
438.000,-88.88125
439.000,-88.88125
440.000,-88.88125
441.000,-88.88125
442.000,-88.88125
443.000,-88.88125
444.000,-88.88125
445.000,-88.88125
446.000,-88.88125
447.000,-88.88125
448.000,-88.88125
449.000,-88.88125
450.000,-88.88125
451.000,-88.88125
452.000,-88.88125
453.000,-88.88125
454.000,-88.88125
455.000,-88.88125
456.000,-88.88125
457.000,-88.88125
458.000,-88.88125
459.000,-88.88125
460.000,-88.88125
461.000,-88.88125
462.000,-88.88125
463.000,-88.88125
464.000,-88.88125
465.000,-88.88125
466.000,-88.88125
467.000,-88.88125
468.000,-88.88125
469.000,-88.88125
