time_ms,vm_mV
0.000,-88.46312
1.000,-35.66281
2.000,28.36240
3.000,31.01596
4.000,30.56548
5.000,30.11500
6.000,29.66452
7.000,29.21404
8.000,28.76355
9.000,28.31307
10.000,27.86259
11.000,27.41211
12.000,26.96163
13.000,26.51115
14.000,26.06066
15.000,25.61018
16.000,25.15970
17.000,24.70922
18.000,24.25874
19.000,23.80826
20.000,23.35777
21.000,22.90729
22.000,22.45681
23.000,22.00633
24.000,21.55585
25.000,21.10537
26.000,20.65488
27.000,20.20440
28.000,19.75392
29.000,19.30344
30.000,18.85296
31.000,18.40248
32.000,17.95199
33.000,17.50151
34.000,17.05103
35.000,16.60055
36.000,16.15007
37.000,15.69959
38.000,15.24910
39.000,14.79862
40.000,14.34814
41.000,13.89766
42.000,13.44718
43.000,12.99670
44.000,12.54621
45.000,12.09573
46.000,11.64525
47.000,11.19477
48.000,10.74429
49.000,10.29381
50.000,9.84332
51.000,9.39284
52.000,8.94236
53.000,8.49188
54.000,8.04140
55.000,7.59092
56.000,7.14043
57.000,6.68995
58.000,6.23947
59.000,5.78899
60.000,5.33851
61.000,4.88803
62.000,4.43754
63.000,3.98706
64.000,3.53658
65.000,3.08610
66.000,2.63562
67.000,2.18514
68.000,1.73465
69.000,1.28417
70.000,0.83369
71.000,0.38321
72.000,-0.06727
73.000,-0.51775
74.000,-0.96824
75.000,-1.41872
76.000,-1.86920
77.000,-2.31968
78.000,-2.77016
79.000,-3.22064
80.000,-3.67113
81.000,-4.12161
82.000,-4.57209
83.000,-5.02257
84.000,-5.47305
85.000,-5.92353
86.000,-6.37402
87.000,-6.82450
88.000,-7.27498
89.000,-7.72546
90.000,-8.17594
91.000,-8.62643
92.000,-9.07691
93.000,-9.52739
94.000,-9.97787
95.000,-10.42835
96.000,-10.87883
97.000,-11.32932
98.000,-11.77980
99.000,-12.23028
100.000,-12.68076
101.000,-13.13124
102.000,-13.58172
103.000,-14.03221
104.000,-14.48269
105.000,-14.93317
106.000,-15.38365
107.000,-15.83413
108.000,-16.28461
109.000,-16.73510
110.000,-17.18558
111.000,-17.63606
112.000,-18.08654
113.000,-18.53702
114.000,-18.98750
115.000,-19.43799
116.000,-19.88847
117.000,-20.33895
118.000,-20.78943
119.000,-21.23991
120.000,-21.69039
121.000,-22.14088
122.000,-22.59136
123.000,-23.04184
124.000,-23.49232
125.000,-23.94280
126.000,-24.39328
127.000,-24.84377
128.000,-25.29425
129.000,-25.74473
130.000,-26.19521
131.000,-26.64569
132.000,-27.09617
133.000,-27.54666
134.000,-27.99714
135.000,-28.44762
136.000,-28.89810
137.000,-29.34858
138.000,-30.58965
139.000,-32.95479
140.000,-35.22618
141.000,-37.40752
142.000,-39.50240
143.000,-41.51424
144.000,-43.44633
145.000,-45.30182
146.000,-47.08377
147.000,-48.79508
148.000,-50.43855
149.000,-52.01688
150.000,-53.53264
151.000,-54.98831
152.000,-56.38628
153.000,-57.72884
154.000,-59.01817
155.000,-60.25640
156.000,-61.44554
157.000,-62.58755
158.000,-63.68428
159.000,-64.73755
160.000,-65.74905
161.000,-66.72047
162.000,-67.65337
163.000,-68.54930
164.000,-69.40971
165.000,-70.23601
166.000,-71.02956
167.000,-71.79165
168.000,-72.52354
169.000,-73.22641
170.000,-73.90142
171.000,-74.54967
172.000,-75.17222
173.000,-75.77010
174.000,-76.34427
175.000,-76.89569
176.000,-77.42525
177.000,-77.93381
178.000,-78.42222
179.000,-78.89126
180.000,-79.34172
181.000,-79.77431
182.000,-80.18976
183.000,-80.58874
184.000,-80.97191
185.000,-81.33988
186.000,-81.69327
187.000,-82.03265
188.000,-82.35858
189.000,-82.67158
190.000,-82.97218
191.000,-83.26087
192.000,-83.53811
193.000,-83.80436
194.000,-84.06006
195.000,-84.30562
196.000,-84.54144
197.000,-84.76792
198.000,-84.98542
199.000,-85.19430
200.000,-85.39490
201.000,-85.58754
202.000,-85.77255
203.000,-85.95023
204.000,-86.12086
205.000,-86.28473
206.000,-86.44211
207.000,-86.59324
208.000,-86.73839
209.000,-86.87778
210.000,-87.01164
211.000,-87.14020
212.000,-87.26366
213.000,-87.38223
214.000,-87.49610
215.000,-87.60546
216.000,-87.71048
217.000,-87.81133
218.000,-87.90819
219.000,-88.00121
220.000,-88.09054
221.000,-88.17633
222.000,-88.25872
223.000,-88.33785
224.000,-88.41384
225.000,-88.48681
226.000,-88.55689
227.000,-88.62420
228.000,-88.68883
229.000,-88.75091
230.000,-88.81052
231.000,-88.86777
232.000,-88.92275
233.000,-88.97556
234.000,-89.02627
235.000,-89.07496
236.000,-89.12173
237.000,-90.25478
238.000,-90.25478
239.000,-90.25478
240.000,-90.25478
241.000,-90.25478
242.000,-90.25478
243.000,-90.25478
244.000,-90.25478
245.000,-90.25478
246.000,-90.25478
247.000,-90.25478
248.000,-90.25478
249.000,-90.25478
250.000,-90.25478
251.000,-90.25478
252.000,-90.25478
253.000,-90.25478
254.000,-90.25478
255.000,-90.25478
256.000,-90.25478
257.000,-90.25478
258.000,-90.25478
259.000,-90.25478
260.000,-90.25478
