time_ms,vm_mV
0.000,-90.79970
1.000,-90.79970
2.000,-90.79970
3.000,-90.79970
4.000,-90.79970
5.000,-90.79970
6.000,-90.79970
7.000,-90.79970
8.000,-89.02246
9.000,-36.64702
10.000,26.86300
11.000,29.49521
12.000,29.01423
13.000,28.53324
14.000,28.05226
15.000,27.57127
16.000,27.09029
17.000,26.60931
18.000,26.12832
19.000,25.64734
20.000,25.16636
21.000,24.68537
22.000,24.20439
23.000,23.72340
24.000,23.24242
25.000,22.76144
26.000,22.28045
27.000,21.79947
28.000,21.31848
29.000,20.83750
30.000,20.35652
31.000,19.87553
32.000,19.39455
33.000,18.91357
34.000,18.43258
35.000,17.95160
36.000,17.47061
37.000,16.98963
38.000,16.50865
39.000,16.02766
40.000,15.54668
41.000,15.06569
42.000,14.58471
43.000,14.10373
44.000,13.62274
45.000,13.14176
46.000,12.66078
47.000,12.17979
48.000,11.69881
49.000,11.21782
50.000,10.73684
51.000,10.25586
52.000,9.77487
53.000,9.29389
54.000,8.81290
55.000,8.33192
56.000,7.85094
57.000,7.36995
58.000,6.88897
59.000,6.40798
60.000,5.92700
61.000,5.44602
62.000,4.96503
63.000,4.48405
64.000,4.00307
65.000,3.52208
66.000,3.04110
67.000,2.56011
68.000,2.07913
69.000,1.59815
70.000,1.11716
71.000,0.63618
72.000,0.15519
73.000,-0.32579
74.000,-0.80677
75.000,-1.28776
76.000,-1.76874
77.000,-2.24972
78.000,-2.73071
79.000,-3.21169
80.000,-3.69268
81.000,-4.17366
82.000,-4.65464
83.000,-5.13563
84.000,-5.61661
85.000,-6.09760
86.000,-6.57858
87.000,-7.05956
88.000,-7.54055
89.000,-8.02153
90.000,-8.50251
91.000,-8.98350
92.000,-9.46448
93.000,-9.94547
94.000,-10.42645
95.000,-10.90743
96.000,-11.38842
97.000,-11.86940
98.000,-12.35039
99.000,-12.83137
100.000,-13.31235
101.000,-13.79334
102.000,-14.27432
103.000,-14.75530
104.000,-15.23629
105.000,-15.71727
106.000,-16.19826
107.000,-16.67924
108.000,-17.16022
109.000,-17.64121
110.000,-18.12219
111.000,-18.60318
112.000,-19.08416
113.000,-19.56514
114.000,-20.04613
115.000,-20.52711
116.000,-21.00809
117.000,-21.48908
118.000,-21.97006
119.000,-22.45105
120.000,-22.93203
121.000,-23.41301
122.000,-23.89400
123.000,-24.37498
