time_ms,vm_mV
0.000,-91.39316
1.000,-91.39316
2.000,-91.39316
3.000,-91.39316
4.000,-91.39316
5.000,-91.39316
6.000,-91.39316
7.000,-91.39316
8.000,-91.39316
9.000,28.74829
10.000,48.74829
11.000,48.74829
12.000,48.74829
13.000,48.74829
14.000,48.74829
15.000,48.74829
16.000,48.74829
17.000,48.74829
18.000,48.74829
19.000,48.74829
20.000,48.74829
21.000,48.74829
22.000,48.74829
23.000,48.74829
24.000,48.74829
25.000,48.74829
26.000,48.74829
27.000,48.74829
28.000,48.74829
29.000,48.74829
30.000,48.74829
31.000,48.74829
32.000,48.74829
33.000,48.74829
34.000,48.74829
35.000,48.74829
36.000,48.74829
37.000,48.74829
38.000,48.74829
39.000,48.74829
40.000,48.74829
41.000,48.74829
42.000,48.74829
43.000,48.74829
44.000,48.74829
45.000,48.74829
46.000,48.74829
47.000,48.74829
48.000,48.74829
49.000,48.74829
50.000,48.74829
51.000,48.74829
52.000,48.74829
53.000,48.74829
54.000,48.74829
55.000,48.74829
56.000,48.74829
57.000,48.74829
58.000,48.74829
59.000,48.74829
60.000,48.74829
61.000,48.74829
62.000,48.74829
63.000,48.74829
64.000,48.74829
65.000,48.74829
66.000,48.74829
67.000,48.74829
68.000,48.74829
69.000,48.74829
70.000,48.74829
71.000,48.74829
72.000,48.74829
73.000,48.74829
74.000,48.74829
75.000,48.74829
76.000,48.74829
77.000,48.74829
78.000,48.74829
79.000,48.74829
80.000,48.74829
81.000,48.74829
82.000,48.74829
83.000,48.74829
84.000,48.74829
85.000,48.74829
86.000,48.74829
87.000,48.74829
88.000,48.74829
89.000,48.74829
90.000,48.74829
91.000,48.74829
92.000,48.74829
93.000,48.74829
94.000,48.74829
95.000,48.74829
96.000,48.74829
97.000,48.74829
98.000,48.74829
99.000,48.74829
100.000,48.74829
101.000,48.74829
102.000,48.74829
103.000,48.74829
104.000,48.74829
105.000,48.74829
106.000,48.74829
107.000,48.74829
108.000,48.74829
109.000,48.74829
110.000,48.74829
111.000,48.74829
112.000,48.74829
113.000,48.74829
114.000,48.74829
115.000,48.74829
116.000,48.74829
117.000,48.74829
118.000,48.74829
119.000,48.74829
120.000,48.74829
121.000,48.74829
122.000,48.74829
123.000,48.74829
124.000,48.74829
125.000,48.74829
126.000,48.74829
127.000,48.74829
128.000,48.74829
129.000,48.74829
130.000,48.74829
131.000,48.74829
132.000,48.74829
133.000,48.74829
134.000,48.74829
135.000,48.74829
136.000,48.74829
137.000,48.74829
138.000,48.74829
139.000,48.74829
140.000,48.74829
141.000,48.74829
142.000,48.74829
143.000,48.74829
144.000,48.74829
145.000,48.74829
146.000,48.74829
147.000,48.74829
148.000,48.74829
149.000,48.74829
150.000,48.74829
151.000,48.74829
152.000,48.74829
153.000,48.74829
154.000,48.74829
155.000,48.74829
156.000,48.74829
157.000,48.74829
158.000,48.74829
159.000,48.74829
160.000,48.74829
161.000,48.74829
162.000,48.74829
163.000,48.74829
164.000,48.74829
165.000,48.12167
166.000,47.02597
167.000,45.93887
168.000,44.86032
169.000,43.79023
170.000,42.72855
171.000,41.67520
172.000,40.63013
173.000,39.59326
174.000,38.56454
175.000,37.54390
176.000,36.53127
177.000,35.52660
178.000,34.52982
179.000,33.54086
180.000,32.55967
181.000,31.58619
182.000,30.62036
183.000,29.66210
184.000,28.71138
185.000,27.76812
186.000,26.83227
187.000,25.90377
188.000,24.98256
189.000,24.06858
190.000,23.16179
191.000,22.26211
192.000,21.36951
193.000,20.48391
194.000,19.60526
195.000,18.73352
196.000,17.86862
197.000,17.01052
198.000,16.15916
199.000,15.31448
200.000,14.47643
201.000,13.64497
202.000,12.82004
203.000,12.00158
204.000,11.18956
205.000,10.38391
206.000,9.58459
207.000,8.79154
208.000,8.00473
209.000,7.22409
210.000,6.44959
211.000,5.68116
212.000,4.91878
213.000,4.16238
214.000,3.41192
215.000,2.66735
216.000,1.92863
217.000,1.19572
218.000,0.46856
219.000,-0.25289
220.000,-0.96868
221.000,-1.67884
222.000,-2.38343
223.000,-3.08248
224.000,-3.77604
225.000,-4.46415
226.000,-5.14686
227.000,-5.82421
228.000,-6.49624
229.000,-7.16299
230.000,-7.82450
231.000,-8.48082
232.000,-9.13199
233.000,-9.77804
234.000,-10.41901
235.000,-11.05496
236.000,-11.68590
237.000,-12.31190
238.000,-12.93297
239.000,-13.54917
240.000,-14.16053
241.000,-14.76709
242.000,-15.36888
243.000,-15.96595
244.000,-16.55833
245.000,-17.14606
246.000,-17.72917
247.000,-18.30770
248.000,-18.88169
249.000,-19.45117
250.000,-20.01617
251.000,-20.57674
252.000,-21.13291
253.000,-21.68471
254.000,-22.23218
255.000,-22.77534
256.000,-23.31424
257.000,-23.84891
258.000,-24.37938
259.000,-24.90568
260.000,-25.42785
261.000,-25.94592
262.000,-26.45992
263.000,-26.96988
264.000,-27.47584
265.000,-27.97782
266.000,-28.47587
267.000,-28.97000
268.000,-29.46025
269.000,-29.94665
270.000,-30.42922
271.000,-30.90801
272.000,-31.38304
273.000,-31.85434
274.000,-32.32194
275.000,-32.78586
276.000,-33.24614
277.000,-33.70281
278.000,-34.15589
279.000,-34.60541
280.000,-35.05140
281.000,-35.49389
282.000,-35.93290
283.000,-36.36847
284.000,-36.80061
285.000,-37.22937
286.000,-37.65475
287.000,-38.07679
288.000,-38.49552
289.000,-38.91096
290.000,-39.32314
291.000,-39.73208
292.000,-40.13780
293.000,-40.54035
294.000,-40.93973
295.000,-41.33597
296.000,-41.72910
297.000,-42.11914
298.000,-42.50613
299.000,-42.89007
300.000,-43.27099
301.000,-43.64893
302.000,-44.02389
303.000,-44.39592
304.000,-44.76502
305.000,-45.13122
306.000,-45.49454
307.000,-45.85501
308.000,-46.21265
309.000,-46.56749
310.000,-46.91953
311.000,-47.26881
312.000,-47.61535
313.000,-47.95916
314.000,-48.30028
315.000,-48.63872
316.000,-48.97449
317.000,-49.30764
318.000,-49.63816
319.000,-49.96609
320.000,-50.29144
321.000,-50.61424
322.000,-50.93451
323.000,-51.25225
324.000,-51.56751
325.000,-51.88028
326.000,-52.19060
327.000,-52.49849
328.000,-52.80395
329.000,-53.10702
330.000,-53.40770
331.000,-53.70603
332.000,-54.00201
333.000,-54.29567
334.000,-54.58702
335.000,-54.87608
336.000,-55.16287
337.000,-55.44741
338.000,-55.72972
339.000,-56.00981
340.000,-56.28769
341.000,-56.56340
342.000,-56.83694
343.000,-57.10833
344.000,-57.37759
345.000,-57.64474
346.000,-57.90979
347.000,-58.17275
348.000,-58.43366
349.000,-58.69251
350.000,-58.94933
351.000,-59.20413
352.000,-59.45693
353.000,-59.70775
354.000,-59.95659
355.000,-60.20349
356.000,-60.44844
357.000,-60.69147
358.000,-60.93259
359.000,-61.17181
360.000,-61.40916
361.000,-61.64465
362.000,-61.87828
363.000,-62.11008
364.000,-62.34006
365.000,-62.56823
366.000,-62.79461
367.000,-63.01922
368.000,-63.24205
369.000,-63.46314
370.000,-63.68250
371.000,-63.90013
372.000,-64.11605
373.000,-64.33027
374.000,-64.54281
375.000,-64.75369
376.000,-64.96290
377.000,-65.17048
378.000,-65.37642
379.000,-65.58075
380.000,-65.78347
381.000,-65.98460
382.000,-66.18415
383.000,-66.38213
384.000,-66.57856
385.000,-66.77344
386.000,-66.96680
387.000,-67.15864
388.000,-67.34896
389.000,-67.53780
390.000,-67.72515
391.000,-67.91103
392.000,-68.09545
393.000,-68.27842
394.000,-68.45996
395.000,-68.64007
396.000,-68.81876
397.000,-68.99605
398.000,-69.17195
399.000,-69.34647
400.000,-69.51962
401.000,-69.69140
402.000,-69.86184
403.000,-70.03094
404.000,-70.19871
405.000,-70.36517
406.000,-70.53031
407.000,-70.69416
408.000,-70.85673
409.000,-71.01801
410.000,-71.17803
411.000,-71.33679
412.000,-71.49431
413.000,-71.65059
414.000,-71.80564
415.000,-71.95947
416.000,-72.11210
417.000,-72.26352
418.000,-72.41376
419.000,-72.56282
420.000,-72.71071
421.000,-72.85743
422.000,-73.00300
423.000,-73.14743
424.000,-73.29073
